ID;HTS;TAMHOGAR;INGFAM;SEXO;AUTLIC;HORA;ORIGEN;DESTINO;JEFEHOGAR;NUMAUTO;NUMEST;NUMTRAB;LICTOT;CANTALT;ELECCION;TV1;TV2;TV3;TV4;TV5;TV6;TV7;TV8;TV9;TV6A;TV6M;TV7A;TV7M;TV8T;TV8M;TV9B;TV9M;TC1;TC2;TC3;TC4;TC5;TC6;TC7;TC8;TC9;TE3;TE4;TE5;TE6;TE7;TE8;TE9;CT1;CT2;CT3;CT4;CT5;CT6;CT7;CT8;CT9;DISP1;DISP2;DISP3;DISP4;DISP5;DISP6;DISP7;DISP8;DISP9
1;44;4;28.00;1;0.00;755;303;513;1;0;2;1;1;2;5;0;0.00;6.08;0.00;8.68;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;6.97;0.00;6.97;0.00;0.00;0.00;0.00;2.30;0.00;0.20;0.00;0.00;0.00;0.00;0.00;0.00;2.72;0.00;1.36;0.00;0.00;0.00;0.00;0;0;1;0;1;0;0;0;0
2;44;5;150.00;0;0.33;810;311;27;0;1;3;2;3;5;4;12.40;12.40;10.68;11.70;23.32;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;3.60;3.60;5.77;6.00;5.77;0.00;0.00;0.00;0.00;0.40;1.30;0.50;0.00;0.00;0.00;0.00;2.89;0.44;2.04;0.44;0.68;0.00;0.00;0.00;0.00;1;1;1;1;1;0;0;0;0
3;44;6;80.00;1;0.00;755;502;113;0;0;3;2;0;2;4;0;0.00;0.00;11.40;13.92;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;16.20;14.77;0.00;0.00;0.00;0.00;0.00;3.20;0.20;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.85;1.36;0.00;0.00;0.00;0.00;0;0;0;1;1;0;0;0;0
4;44;3;65.00;1;0.50;810;707;27;1;1;0;1;2;5;4;8.78;8.78;8.00;6.60;18.03;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;2.40;2.40;3.83;6.00;3.83;0.00;0.00;0.00;0.00;0.30;1.30;0.10;0.00;0.00;0.00;0.00;2.21;0.24;2.04;0.44;0.68;0.00;0.00;0.00;0.00;1;1;1;1;1;0;0;0;0
5;44;7;150.00;1;0.50;800;712;27;1;2;3;2;4;5;4;14.62;14.62;11.77;12.80;25.65;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;3.60;3.60;7.80;14.77;7.80;0.00;0.00;0.00;0.00;0.40;1.30;0.50;0.00;0.00;0.00;0.00;2.72;0.51;2.04;0.44;0.68;0.00;0.00;0.00;0.00;1;1;1;1;1;0;0;0;0
6;46;7;33.00;1;0.00;800;311;511;1;0;4;1;0;4;5;0;0.00;9.32;0.00;14.07;0.00;0.00;9.28;9.68;0.00;0.00;0.00;0.00;2.88;6.40;3.28;6.40;0.00;0.00;13.43;0.00;11.88;0.00;0.00;6.72;6.72;2.30;0.00;0.20;0.00;0.00;5.50;5.90;0.00;0.00;2.72;0.00;1.36;0.00;0.00;2.21;2.21;0;0;1;0;1;0;0;1;1
7;44;3;100.00;0;0.50;740;522;702;0;1;1;2;2;8;2;21.20;21.20;21.23;0.00;36.28;19.15;28.70;22.13;26.87;6.35;12.80;15.90;12.80;9.33;12.80;14.07;12.80;3.60;3.60;3.83;0.00;3.83;3.60;3.60;5.28;5.28;0.50;0.00;1.60;1.30;1.30;1.80;2.60;3.71;0.99;2.04;0.00;0.34;1.33;0.48;1.29;1.05;1;1;1;0;1;1;1;1;1
8;42;6;60.00;0;0.50;755;501;117;1;1;2;2;2;4;4;13.17;13.17;0.00;10.60;13.27;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;2.40;2.40;0.00;12.00;10.80;0.00;0.00;0.00;0.00;0.00;3.20;0.30;0.00;0.00;0.00;0.00;3.54;1.26;0.00;0.85;1.36;0.00;0.00;0.00;0.00;1;1;0;1;1;0;0;0;0
9;40;3;25.00;1;0.00;800;214;511;1;0;0;2;0;3;5;0.00;0.00;2.97;0.00;4.17;0.00;0.00;0.00;7.98;0.00;0.00;0.00;0.00;0.00;0.00;5.08;2.90;0.00;0.00;15.72;0.00;15.72;0.00;0.00;0.00;6.37;2.30;0.00;0.20;0.00;0.00;0.00;3.70;0.00;0.00;2.72;0.00;1.36;0.00;0.00;0.00;2.21;0;0;1;0;1;0;0;0;1
10;48;4;70.00;1;0.50;745;318;702;1;1;2;2;2;8;8;15.53;15.53;17.87;0.00;37.33;18.47;18.93;18.30;21.80;5.67;12.80;6.13;12.80;5.50;12.80;9.00;12.80;3.60;3.60;8.77;0.00;8.77;3.60;3.60;10.20;10.20;0.60;0.00;0.50;1.30;1.30;1.90;1.80;3.16;0.41;2.04;0.00;0.68;1.43;0.44;1.46;1.12;1;1;1;0;1;1;1;1;1
11;44;4;120.00;1;0.66;800;113;702;1;2;2;1;3;6;1;12.93;12.93;14.12;0.00;0.00;13.43;17.17;10.50;0.00;9.53;3.90;13.27;3.90;6.60;3.90;0.00;0.00;3.60;3.60;4.20;0.00;0.00;3.60;3.60;6.00;0.00;0.60;0.00;0.00;1.30;1.30;1.90;0.00;4.66;0.65;2.04;0.00;0.00;1.29;0.48;1.46;0.00;1;1;1;0;0;1;1;1;0
12;40;6;35.00;1;0.00;800;305;511;1;0;3;1;0;3;5;0.00;0.00;5.60;0.00;8.17;0.00;0.00;0.00;7.40;0.00;0.00;0.00;0.00;0.00;0.00;3.30;4.10;0.00;0.00;14.28;0.00;14.28;0.00;0.00;0.00;10.43;2.30;0.00;0.20;0.00;0.00;0.00;8.00;0.00;0.00;2.72;0.00;1.36;0.00;0.00;0.00;2.21;0;0;1;0;1;0;0;0;1
13;44;3;90.00;1;0.50;745;522;702;1;1;1;1;2;8;8;23.47;23.47;21.98;0.00;39.73;19.18;29.03;22.47;27.33;6.38;12.80;16.23;12.80;9.67;12.80;14.53;12.80;3.60;3.60;1.68;0.00;1.68;3.60;3.60;3.12;3.12;0.50;0.00;1.60;1.30;1.30;1.80;2.60;3.94;0.61;2.04;0.00;0.68;1.67;0.48;1.46;0.95;1;1;1;0;1;1;1;1;1
14;48;6;100.00;1;0.50;750;516;702;1;1;3;1;2;7;9;23.20;23.20;17.63;0.00;32.23;18.93;0.00;18.70;24.10;6.13;12.80;0.00;0.00;5.90;12.80;11.30;12.80;3.60;3.60;5.52;0.00;5.52;3.60;0.00;6.97;4.20;0.50;0.00;1.60;1.30;0.00;1.80;2.30;4.76;0.68;2.04;0.00;0.68;1.70;0.00;1.46;1.12;1;1;1;0;1;1;0;1;1
15;44;4;55.00;1;1.00;805;507;116;1;1;0;2;1;4;4;3.67;0.00;4.37;4.10;6.65;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;3.37;0.00;4.57;8.03;4.57;0.00;0.00;0.00;0.00;0.40;3.20;1.00;0.00;0.00;0.00;0.00;1.77;0.00;2.72;0.85;1.36;0.00;0.00;0.00;0.00;1;0;1;1;1;0;0;0;0
16;44;6;85.00;0;0.50;805;315;702;0;1;3;2;2;6;9;0.00;15.48;13.98;0.00;31.70;0.00;21.70;14.80;17.70;0.00;0.00;8.90;12.80;2.00;12.80;4.90;12.80;0.00;3.60;6.00;0.00;6.00;0.00;2.63;7.43;7.43;0.40;0.00;0.50;0.00;1.30;1.70;1.50;0.00;0.65;2.04;0.00;0.68;0.00;0.44;2.48;1.12;0;1;1;0;1;0;1;1;1
17;50;3;84.00;1;0.00;745;502;110;1;0;2;1;0;2;4;0.00;0.00;0.00;10.30;12.73;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;5.03;2.63;0.00;0.00;0.00;0.00;0.00;3.20;0.20;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.85;1.36;0.00;0.00;0.00;0.00;0;0;0;1;1;0;0;0;0
18;44;4;48.00;1;0.50;810;406;702;1;1;2;1;2;7;9;9.52;9.52;11.60;0.00;18.83;12.22;17.13;0.00;15.72;4.32;7.90;9.23;7.90;0.00;0.00;7.82;7.90;2.40;2.40;5.40;0.00;1.80;3.60;3.60;0.00;3.23;0.80;0.00;0.90;1.30;1.30;0.00;1.80;3.40;0.34;2.04;0.00;0.68;1.29;0.44;0.00;1.12;1;1;1;0;1;1;1;0;1
19;44;3;95.00;1;0.50;800;106;702;1;1;1;1;2;8;1;9.42;9.42;13.58;0.00;24.48;14.17;28.97;12.53;14.47;4.97;9.20;19.77;9.20;4.63;7.90;6.57;7.90;0.00;0.00;2.40;0.00;2.40;3.60;3.60;3.83;3.83;0.60;0.00;0.80;1.30;1.30;1.90;1.80;1.02;0.51;2.04;0.00;0.68;1.39;0.44;1.29;1.12;1;1;1;0;1;1;1;1;1
20;48;8;180.00;0;0.66;730;414;512;0;2;1;3;3;7;5;18.12;18.23;0.00;0.00;22.13;17.87;29.57;17.03;19.00;5.17;12.70;16.87;12.70;4.33;12.70;6.30;12.70;2.40;0.00;0.00;0.00;3.97;8.63;8.63;10.20;10.20;0.00;0.00;0.70;3.20;3.20;3.60;3.50;5.00;2.04;0.00;0.00;1.36;2.38;0.88;2.21;2.21;1;1;0;0;1;1;1;1;1
21;40;5;120.00;1;0.50;800;402;512;1;1;2;2;2;7;8;15.13;15.13;0.00;0.00;18.68;14.62;19.20;15.40;16.40;4.32;10.30;8.90;10.30;6.10;9.30;6.10;10.30;5.40;0.00;0.00;0.00;5.28;4.32;3.12;6.72;6.72;0.00;0.00;2.00;3.20;3.20;3.60;4.00;4.39;1.67;0.00;0.00;1.36;2.58;0.88;2.04;2.21;1;1;0;0;1;1;1;1;1
22;44;6;60.00;1;0.66;745;114;700;1;2;2;2;3;8;9;14.07;14.07;19.28;0.00;32.78;20.52;29.77;16.40;20.50;5.42;15.10;14.67;15.10;6.20;10.20;10.30;10.20;11.77;11.77;8.28;0.00;8.28;7.92;7.92;8.52;8.52;0.60;0.00;1.60;1.30;1.30;1.90;2.00;2.31;0.31;2.04;0.00;0.68;1.26;0.44;1.63;1.12;1;1;1;0;1;1;1;1;1
23;52;6;45.00;1;0.00;755;507;512;1;0;3;2;1;3;4;0.00;0.00;9.98;4.90;8.70;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;7.68;14.17;13.92;0.00;0.00;0.00;0.00;0.40;3.20;0.70;0.00;0.00;0.00;0.00;0.00;0.00;2.72;0.85;1.36;0.00;0.00;0.00;0.00;0;0;1;1;1;0;0;0;0
24;45;6;200.00;0;0.66;800;127;701;0;2;3;3;3;3;2;0.00;12.97;22.63;0.00;0.00;0.00;22.28;0.00;0.00;0.00;0.00;8.28;14.00;0.00;0.00;0.00;0.00;0.00;9.00;14.52;0.00;0.00;0.00;7.20;0.00;0.00;0.60;0.00;0.00;0.00;1.30;0.00;0.00;0.00;0.61;2.04;0.00;0.00;0.00;0.44;0.00;0.00;0;1;1;0;0;0;1;0;0
25;45;4;80.00;1;0.50;810;409;701;0;2;2;2;4;7;7;15.57;15.57;19.22;0.00;28.88;15.27;18.98;0.00;16.80;4.87;10.40;8.58;10.40;0.00;0.00;2.80;14.00;11.77;11.77;7.80;0.00;7.80;7.20;7.20;0.00;9.23;0.80;0.00;0.90;1.30;1.30;0.00;1.70;2.96;0.65;1.36;0.00;0.68;1.53;0.48;0.00;1.19;1;1;1;0;1;1;1;0;1
26;45;4;100.00;0;0.66;800;315;701;0;2;1;2;3;8;6;15.22;15.22;16.87;0.00;35.93;16.12;21.85;16.00;18.90;4.42;11.70;10.15;11.70;2.00;14.00;4.90;14.00;11.77;11.77;11.22;0.00;11.22;7.20;7.20;10.73;10.73;0.40;0.00;0.70;1.30;1.30;1.70;1.50;2.89;0.61;2.04;0.00;0.68;1.50;0.44;2.48;1.12;1;1;1;0;1;1;1;1;1
27;50;4;40.00;1;0.00;750;315;513;1;0;1;1;0;4;5;0.00;0.00;13.88;0.00;19.98;0.00;0.00;13.48;12.58;0.00;0.00;0.00;0.00;3.28;10.20;3.58;9.00;0.00;0.00;5.40;0.00;5.40;0.00;0.00;9.83;9.83;2.30;0.00;0.20;0.00;0.00;5.50;5.00;0.00;0.00;2.72;0.00;1.36;0.00;0.00;2.21;2.21;0;0;1;0;1;0;0;1;1
28;44;6;200.00;1;0.75;750;114;701;1;3;3;2;4;7;6;0.00;12.93;18.27;0.00;31.47;17.98;19.03;17.40;17.70;3.98;14.00;5.03;14.00;3.40;14.00;9.90;7.80;0.00;11.77;7.57;0.00;7.57;7.20;7.20;7.08;7.08;0.60;0.00;1.60;1.30;1.30;1.90;2.00;0.00;0.58;2.04;0.00;0.34;1.43;0.44;1.63;1.12;0;1;1;0;1;1;1;1;1
29;44;5;120.00;1;0.66;750;513;701;1;2;3;1;3;8;6;22.87;22.87;17.53;0.00;32.88;18.62;23.63;18.52;23.12;8.22;10.40;13.23;10.40;4.52;14.00;19.52;3.60;3.37;3.37;2.17;0.00;2.17;2.17;2.17;2.17;2.17;0.50;0.00;1.60;1.30;1.30;1.80;2.50;2.89;0.58;2.04;0.00;0.68;2.72;0.48;1.46;1.12;1;1;1;0;1;1;1;1;1
30;44;5;65.00;1;0.50;800;330;701;1;1;3;1;2;7;9;0.00;12.02;17.17;0.00;28.67;13.15;25.28;11.92;12.68;2.75;10.40;14.88;10.40;1.52;10.40;2.28;10.40;0.00;11.77;11.52;0.00;8.52;7.20;7.20;8.03;8.03;0.80;0.00;0.60;1.30;1.30;2.08;1.90;0.00;0.48;1.70;0.00;0.68;2.18;0.44;1.46;1.12;0;1;1;0;1;1;1;1;1
31;44;5;35.00;0;0.00;740;314;511;1;0;2;1;0;3;5;0.00;0.00;0.00;0.00;12.47;0.00;0.00;9.30;9.85;0.00;0.00;0.00;0.00;2.00;7.30;2.55;7.30;0.00;0.00;0.00;0.00;4.43;0.00;0.00;6.72;5.88;0.00;0.00;0.20;0.00;0.00;3.70;3.30;0.00;0.00;0.00;0.00;1.36;0.00;0.00;2.21;2.21;0;0;0;0;1;0;0;1;1
32;44;4;45.00;1;0.50;800;708;701;1;1;2;1;2;5;4;10.50;10.50;9.85;9.10;21.42;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;4.20;4.20;6.37;10.92;2.03;0.00;0.00;0.00;0.00;0.30;1.30;0.20;0.00;0.00;0.00;0.00;3.43;0.37;2.04;0.44;0.68;0.00;0.00;0.00;0.00;1;1;1;1;1;0;0;0;0
33;48;4;70.00;1;1.00;815;311;511;0;3;0;2;3;7;1;9.05;9.33;0.00;0.00;20.65;9.13;16.70;9.73;10.32;2.73;6.40;10.30;6.40;3.33;6.40;3.92;6.40;4.20;0.00;0.00;0.00;9.83;5.52;4.32;5.52;5.52;0.00;0.00;6.00;3.20;3.20;3.80;5.90;2.79;0.92;0.00;0.00;1.36;1.94;0.88;2.21;2.21;1;1;0;0;1;1;1;1;1
34;48;5;70.00;1;1.00;730;409;701;1;1;3;1;1;7;7;16.35;16.35;0.00;0.00;25.77;16.83;25.37;15.83;17.62;11.73;5.10;20.27;5.10;1.83;14.00;3.62;14.00;6.97;6.97;0.00;0.00;8.28;2.17;2.17;4.20;4.20;0.00;0.00;0.90;1.30;1.30;2.30;1.70;3.67;0.48;0.00;0.00;0.68;1.05;0.48;1.12;1.12;1;1;0;0;1;1;1;1;1
35;40;2;52.00;0;0.00;720;411;512;0;0;0;2;0;3;5;0.00;0.00;0.00;0.00;16.42;0.00;0.00;15.97;16.68;0.00;0.00;0.00;0.00;3.27;12.70;3.98;12.70;0.00;0.00;0.00;0.00;11.88;0.00;0.00;7.80;7.80;0.00;0.00;0.50;0.00;0.00;5.50;3.40;0.00;0.00;0.00;0.00;1.36;0.00;0.00;2.21;2.21;0;0;0;0;1;0;0;1;1
36;44;5;85.00;1;0.66;750;118;701;1;2;3;1;3;8;9;13.68;13.68;18.32;0.00;32.17;18.75;30.17;18.73;20.85;4.75;14.00;16.17;14.00;4.73;14.00;11.75;9.10;4.32;4.32;4.20;0.00;4.20;2.17;2.17;4.20;4.20;0.60;0.00;1.60;1.30;1.30;1.90;2.00;2.82;0.54;2.04;0.00;0.68;1.36;0.44;1.80;1.12;1;1;1;0;1;1;1;1;1
37;44;4;110.00;0;0.50;750;119;701;0;1;2;2;2;8;5;14.28;14.28;19.45;0.00;34.07;19.00;29.23;19.53;22.47;5.00;14.00;15.23;14.00;5.53;14.00;13.37;9.10;4.32;4.32;1.57;0.00;1.57;2.17;2.17;1.57;1.57;0.60;0.00;1.60;1.30;1.30;1.90;2.00;2.96;0.65;2.04;0.00;0.68;1.46;0.44;1.80;1.12;1;1;1;0;1;1;1;1;1
38;48;5;120.00;1;0.66;745;413;701;1;2;3;1;3;8;6;17.37;17.37;23.50;0.00;33.85;17.92;19.45;19.70;23.80;6.22;11.70;7.75;11.70;5.70;14.00;9.80;14.00;4.32;4.32;2.40;0.00;2.40;2.17;2.17;2.40;2.40;0.80;0.00;1.80;1.30;1.30;2.08;2.00;3.16;0.75;1.70;0.00;0.68;2.89;0.51;1.50;1.09;1;1;1;0;1;1;1;1;1
39;45;2;25.00;0;0.00;730;417;513;1;0;0;1;0;3;5;0.00;0.00;0.00;0.00;38.40;0.00;0.00;18.90;25.50;0.00;0.00;0.00;0.00;5.30;13.60;11.90;13.60;0.00;0.00;0.00;0.00;3.72;0.00;0.00;9.48;9.48;0.00;0.00;2.00;0.00;0.00;4.50;6.10;0.00;0.00;0.00;0.00;1.36;0.00;0.00;2.21;2.21;0;0;0;0;1;0;0;1;1
40;44;5;48.00;1;0.50;800;404;701;1;1;2;1;2;7;3;13.37;13.37;11.83;0.00;18.57;0.00;21.55;12.48;11.02;0.00;0.00;13.75;7.80;3.38;9.10;3.22;7.80;4.32;4.32;9.30;0.00;9.30;0.00;2.17;7.02;6.90;0.80;0.00;0.90;0.00;1.30;2.08;2.10;2.14;0.24;2.04;0.00;0.68;0.00;0.44;2.14;1.12;1;1;1;0;1;0;1;1;1
41;48;2;50.00;1;0.50;810;411;512;1;1;0;2;2;7;5;14.37;15.72;0.00;0.00;18.47;14.43;14.43;14.60;14.70;1.73;12.70;1.73;12.70;1.90;12.70;2.00;12.70;5.40;0.00;0.00;0.00;1.68;6.83;6.00;6.23;6.23;0.00;0.00;0.50;3.20;3.20;5.50;3.40;4.59;1.70;0.00;0.00;1.36;1.60;0.88;1.87;2.21;1;1;0;0;1;1;1;1;1
42;48;5;70.00;0;0.50;800;419;512;0;1;2;3;2;8;5;16.00;19.77;19.58;0.00;27.00;17.68;36.77;17.58;18.52;4.98;12.70;24.07;12.70;4.88;12.70;5.82;12.70;13.80;0.00;3.97;0.00;5.40;7.20;6.00;9.00;9.00;2.30;0.00;0.20;3.20;3.20;5.50;3.80;6.66;2.01;3.40;0.00;1.36;2.55;0.88;2.21;2.21;1;1;1;0;1;1;1;1;1
43;40;4;50.00;0;0.50;800;123;702;1;1;3;1;2;8;5;15.62;15.62;19.97;0.00;36.92;20.32;31.38;21.03;25.87;7.52;12.80;18.58;12.80;8.23;12.80;17.97;7.90;0.60;0.60;7.43;0.00;11.03;7.80;7.80;10.68;10.68;1.00;0.00;1.30;1.30;1.30;2.30;2.20;1.29;0.65;2.04;0.00;0.78;1.70;0.48;1.63;1.12;1;1;1;0;1;1;1;1;1
44;48;9;71.00;0;0.00;800;406;512;0;0;3;4;1;3;5;0.00;0.00;0.00;0.00;21.22;0.00;0.00;18.30;18.10;0.00;0.00;0.00;0.00;5.60;12.70;6.70;11.40;0.00;0.00;0.00;0.00;2.63;0.00;0.00;6.72;6.72;0.00;0.00;1.30;0.00;0.00;3.80;4.20;0.00;0.00;0.00;0.00;1.36;0.00;0.00;2.21;2.21;0;0;0;0;1;0;0;1;1
